"TIME","POSITION","rho1","rho2","h","RMS_BASE","RMS_DIFF"
310.25,-4.2,7.6568528826502,7.84738734865614,5.09974447522553,0.0256715188799156,0.0256715188304798
310.75,-3.99,7.65230699561668,7.8607660259863,5.39686662856288,0.0256319489431444,0.0256319489083468
311.25,-4.41,7.64836956719311,7.87486034344168,5.66034354897506,0.0255957270109775,0.0255957270139423
311.75,-4.2,7.64500524939824,7.88924622479185,5.88573152745139,0.0255576182270499,0.0255576182467216
312.25,-4.62,7.6418579417862,7.90442734348329,6.07785878132679,0.0255089322026986,0.0255089322305341
312.75,-4.41,7.63887541494841,7.92044122217319,6.2476900523444,0.0254530174909785,0.0254530174739482
313.25,-4.83,7.63593665535998,7.937766079464,6.40911730639918,0.0253933488087489,0.0253933488180581
313.75,-4.62,7.63343438427399,7.95499587305645,6.55058427714359,0.0253344186090647,0.025334418636171
314.25,-5.04,7.63108656104782,7.97286124180961,6.67475460738744,0.0252680315501139,0.0252680315767872
314.75,-4.83,7.62924579908019,7.99077433486141,6.80733955423164,0.0252204507304335,0.0252204506980924
315.25,-5.25,7.62742378063276,8.01045655251162,6.94794615899002,0.0251744614941131,0.0251744615282619
315.75,-5.04,7.62615537740813,8.02925956427506,7.07379507144439,0.0251351110111662,0.0251351110007126
316.25,-5.46,7.62524820719765,8.04817699391737,7.19768798884759,0.0251026843325306,0.0251026843157566
316.75,-5.25,7.62521832246039,8.06446331062449,7.3059285440628,0.0250886712721818,0.0250886712667775
317.25,-5.67,7.62549410295145,8.08046467334804,7.40609441051855,0.025076708104761,0.025076708092633
317.75,-5.46,7.62675278779751,8.09249949754319,7.48530832183157,0.0250864273596482,0.0250864273901974
318.25,-5.88,7.62830940792101,8.10343772534223,7.54872080108235,0.0250951450256923,0.0250951450029826
318.75,-5.67,7.63068951327778,8.11051313998987,7.59205630269015,0.0251225598326622,0.0251225598020695
319.25,-6.09,7.6333132587098,8.11634973720029,7.61979117243427,0.0251489506906886,0.0251489506691824
319.75,-5.88,7.63627651025146,8.12082499610605,7.64162113035086,0.0251850095115679,0.025185009508519
320.25,-6.3,7.63935821095623,8.12505368642537,7.66290719704768,0.0252261586562568,0.0252261586619024
320.75,-6.09,7.64264481417882,8.12919531112506,7.69648734352896,0.0252840018061557,0.0252840017916788
321.25,-6.51,7.64566052596957,8.13431793321978,7.719357578017,0.0253254743411499,0.0253254743151015
321.75,-6.3,7.64876379737671,8.13963145388066,7.75019555963144,0.0253761996451002,0.0253761996444673
322.25,-6.72,7.65162023443824,8.14626349790219,7.78065249694445,0.0254172346588516,0.0254172346361601
322.75,-6.51,7.65447656626081,8.1528736367592,7.80679915732543,0.025455586450262,0.0254555864659094
323.25,-6.93,7.65713983738775,8.15968616367207,7.81280256974598,0.0254720064649547,0.0254720064966117
323.75,-6.72,7.66020797412802,8.16490549195904,7.81861703782545,0.0255022198240604,0.0255022197892214
324.25,-7.14,7.66304994342305,8.17100633549673,7.82133027633502,0.0255197108881349,0.0255197109021503
324.75,-6.93,7.66584412102845,8.17586575854338,7.80647808997782,0.0255253932131703,0.0255253932130522
325.25,-7.35,7.66903367588671,8.17803662500889,7.79253069041269,0.0255498127866816,0.0255498128223205
325.75,-7.14,7.67185658802876,8.18128828700251,7.79101373535982,0.0255701095654305,0.0255701096239217
326.25,-7.56,7.67464854679565,8.18297031587465,7.79647137422244,0.0256010426938776,0.0256010427573454
326.75,-7.35,7.67697383885355,8.18395100720429,7.80061475842816,0.0256237818005175,0.0256237817738822
327.25,-7.77,7.67891862110464,8.1839652717466,7.82028321556919,0.0256556763785154,0.0256556763426178
327.75,-7.56,7.6799095707712,8.1847712274914,7.84763309135457,0.0256716210933284,0.0256716210702654
328.25,-7.98,7.68049509712933,8.1827096500272,7.86890943364243,0.0256877643224579,0.0256877643767173
328.75,-7.77,7.67985688699014,8.18358537671238,7.9173610706971,0.0256895317622878,0.0256895317666234
329.25,-7.35,7.67868010900438,8.18326809410466,7.97032872840389,0.0256907733210088,0.0256907733411442
329.75,-6.93,7.67662308637889,8.18357142087128,8.01549242970691,0.0256660979612719,0.0256660979075778
330.25,-7.14,7.67436752184593,8.18219776951207,8.06060118160974,0.0256461057166649,0.0256461056835748
330.75,-6.72,7.67165427142301,8.18019089547712,8.08250818173268,0.025601006929679,0.0256010068979263
331.25,-6.93,7.66903684762305,8.17637448292198,8.10135788617197,0.0255642450298972,0.0255642449999109
331.75,-6.51,7.66628780349109,8.17178749352889,8.1020226913244,0.0255134782375822,0.0255134782361677
332.25,-6.72,7.66381486025982,8.16511028321147,8.09352890336256,0.025470417464538,0.0254704175234295
