"TIME","POSITION","A1","A2","DA1","DA2"
16.75,3.15,4.58870615933431,5.38566501489221,0.513437033619355,0.623957314411228
17.25,3.57,4.59324635917162,5.39074068779711,0.550491944507007,0.65658792600609
17.75,3.36,4.59816734774292,5.39604026430077,0.599167706929799,0.688319180546493
18.25,3.78,4.60355576247067,5.40162002066857,0.654955630040528,0.719945446735003
18.75,3.57,4.60951765613558,5.40762950390088,0.708248316322612,0.75476787912925
19.25,3.99,4.61615272182493,5.41424409421151,0.753830410644573,0.796468096820151
19.75,3.78,4.62351611347965,5.42154838315332,0.791150186502443,0.842847701158516
20.25,4.2,4.63142092829906,5.42947537745838,0.818938581363764,0.889242360523889
20.75,3.99,4.63949227588534,5.43783816114146,0.834130649536625,0.938343672976674
21.25,4.41,4.64731254422266,5.44642288164315,0.830991224338415,0.994748026384554
21.75,4.2,4.6545861694835,5.45504528788266,0.799993386082549,1.05305476658259
22.25,4.62,4.66132816246018,5.46367648626317,0.742853694348389,1.10175251981119
22.75,4.41,4.66786088936574,5.47247276902971,0.680620157253389,1.13290553863287
23.25,4.83,4.67464632948528,5.48176798495613,0.642414374204484,1.15802205599374
23.75,4.62,4.68215777148878,5.49198877645793,0.648007794589603,1.20352009210493
24.25,5.04,4.69074584879748,5.50352724685677,0.695375965334997,1.28722931706784
24.75,4.83,4.70035113563363,5.51655281232805,0.752324466931505,1.41285251668506
25.25,5.25,4.71122886903967,5.52890958913499,0.813442678326785,1.57220257722727
25.75,5.04,4.72436588399929,5.53694780842329,0.887489115406183,1.74018087257237
26.25,5.46,4.74160196939459,5.53862113331216,1.00484488069924,1.89798959795633
26.75,5.25,4.76441940533725,5.53584973227386,1.18545791451505,2.02172989161408
27.25,5.67,4.79205250820844,5.53579700181152,1.39774020688212,2.12015603132526
27.75,5.46,4.82154401318095,5.54497378833237,1.61860504532072,2.23589187500108
28.25,5.88,4.84850743429588,5.56215779837697,1.81997390724032,2.37228151592001
28.75,5.67,4.86943584642651,5.5807360831856,1.97583326466072,2.49935171061387
29.25,6.09,4.8823670909587,5.59423367432343,2.07305688139007,2.58607975073375
29.75,5.67,4.8873551010387,5.59960290618345,2.12888309127962,2.63065484362055
30.25,5.88,4.88608191888595,5.59741792631336,2.16073744280436,2.64411144117447
30.75,5.46,4.88058683815514,5.59010083411758,2.18281919009721,2.65010648964102
31.25,5.67,4.87227411576284,5.57966961834853,2.20007538240572,2.66256634068996
31.75,5.25,4.86201765074291,5.56732425994607,2.20688098971466,2.67362094022476
32.25,5.46,4.85061009875072,5.55392983955284,2.20313235809157,2.66683675721383
32.75,5.04,4.83852571867365,5.53992467416179,2.20004225690603,2.63802346490634
33.25,5.25,4.82580653515949,5.52536124362757,2.20535137171052,2.58823416740927
33.75,4.83,4.812369977179,5.51020749237577,2.21788722449134,2.51903241126767
34.25,5.04,4.7982226188708,5.49459392442,2.23018875120226,2.43495209447681
34.75,4.62,4.78347783361722,5.47878192227784,2.23091045015658,2.3418665425087
35.25,4.83,4.76824963478654,5.46306142686185,2.20371354706132,2.2420324401558
35.75,4.41,4.75263026018602,5.44760181106731,2.13644973301981,2.13339772944792
36.25,4.62,4.73694152797005,5.43256317169561,2.03461415523251,2.01489311288799
36.75,4.2,4.72166632878752,5.41812520843425,1.92213843187156,1.89509298228877
37.25,4.41,4.70718044218235,5.40446691588481,1.82653885891854,1.79156861489555
37.75,3.99,4.69349017974308,5.39158913947699,1.74929086681705,1.70689258928555
38.25,4.2,4.68050717878057,5.3793489051989,1.67223671284383,1.62112072585648
38.75,3.78,4.66828658554896,5.36763192055488,1.57894321993766,1.50702083972565
39.25,3.99,4.65712184750615,5.35659169715825,1.46711763332821,1.34828290440887
39.75,3.57,4.64713275861534,5.34640313323884,1.34216969762683,1.14923092208194
40.25,3.78,4.63791584429427,5.33724560190476,1.19537473272463,0.934282436978273
40.75,3.36,4.62891434110674,5.3293186312235,1.0205121659618,0.727797242721291
41.25,3.57,4.62009043782516,5.32352938231126,0.831532501957756,0.560363780087647
41.75,3.15,4.61175168453347,5.32084784687348,0.65956735126945,0.452558992353732
42.25,3.36,4.60428700456561,5.32155924635499,0.538031986318341,0.410438476278763
42.75,2.94,4.59789983300183,5.32494319434297,0.470680085437278,0.423032760368317
43.25,3.15,4.59255841861829,5.32943403173379,0.43577653847057,0.460196145991224
43.75,2.73,4.58807477890847,5.33368927183833,0.413672835936331,0.485888744399412
44.25,2.94,4.58410237804779,5.33725029033193,0.39298964494386,0.476835475039042
44.75,2.52,4.58022361946396,5.34022758012617,0.363842909200275,0.441531276779494
45.25,2.73,4.57622979105758,5.3424432758268,0.320859120237558,0.397357901408334
45.75,2.31,4.5722751428765,5.3436764533127,0.265017597904979,0.353340256939318
46.25,2.52,4.56873511934181,5.34401282118715,0.202358764959599,0.309346252904004
46.75,2.1,4.5658147244661,5.3437725004106,0.137466011652416,0.264890204970055
47.25,2.31,4.56342787981621,5.3432905105247,0.0698876397390402,0.219769385815411
47.75,1.89,4.56139823107917,5.34276099117181,0.00675378426020243,0.176379183854905
48.25,2.1,4.5597104147923,5.34229753446239,-0.0391669171586696,0.137682155528346
48.75,1.68,4.55855680941538,5.34198805379733,-0.0713158236017989,0.100857447412248
49.25,1.89,4.55799859797684,5.34193660928524,-0.0978823571896563,0.0643983642532999
49.75,1.47,4.55784560981041,5.34217354955353,-0.118172234112374,0.0324171806869362
50.25,1.68,4.5577685579611,5.34258405920994,-0.1286816534973,0.00616001721292083
50.75,1.26,4.55761704930205,5.3430296494709,-0.139172246773037,-0.0197607634261699
51.25,1.47,4.55751607989117,5.34344587149504,-0.169420735166392,-0.0519468428012627
51.75,1.05,4.55769404614811,5.34389098558551,-0.223396722739746,-0.0917927870736985
52.25,1.26,4.55833629438833,5.34449050583557,-0.277774604949492,-0.12985326527547
52.75,0.84,4.55930926491413,5.34522925426245,-0.306135151316653,-0.152316523686858
53.25,1.05,4.5601856142906,5.3459029952774,-0.304440259900581,-0.15344328836801
53.75,0.63,4.56043618003514,5.34623357021881,-0.285537005235464,-0.138377985080808
54.25,1.05,4.55991751957954,5.34616461585796,-0.260402929750409,-0.114871086657911
54.75,0.84,4.55905530178695,5.34593492505022,-0.237911525979292,-0.0887685965023249
55.25,1.26,4.55834463740603,5.3458152372867,-0.221137582128055,-0.0619444922837038
55.75,1.05,4.55796411767157,5.3458854824191,-0.206319418047847,-0.0338274107730246
56.25,1.47,4.55781274160916,5.34609151883159,-0.18702813011274,-0.00555772800675781
56.75,1.26,4.5577833210509,5.34638424632309,-0.158200853491511,0.0208952428529024
57.25,1.68,4.55793274069938,5.34680488902446,-0.118348607454054,0.0461279894511231
57.75,1.47,4.55846769966286,5.34746888134426,-0.0693128541766333,0.0724916655096346
58.25,1.89,4.55964836774398,5.34850571862172,-0.0126835646622215,0.10199781461822
58.75,1.68,4.56153530103631,5.34990957220699,0.0537254019862233,0.137790734385863
59.25,2.1,4.5639490190509,5.35153591139671,0.127816679414289,0.181072452773198
59.75,1.89,4.56653745482111,5.35319824672153,0.199369288807445,0.229032796926009
60.25,2.31,4.56891222452747,5.35474143430271,0.253051752362576,0.27254472327545
60.75,2.1,4.57092615914768,5.35614248219858,0.277265771964827,0.299846187132373
61.25,2.52,4.57272566149989,5.3575392340484,0.2762790271952,0.311157966455444
61.75,2.31,4.57468649396819,5.35919709925574,0.271270196511536,0.319666574087375
62.25,2.73,4.5770941487117,5.36132301120217,0.279712047907894,0.335849956997045
62.75,2.52,4.57997701757025,5.36393442893082,0.309636967623252,0.363241294304907
