"TIME","POSITION","RHO_S1","RHO_S1_DIFF","RHO_S2","RHO_S2_DIFF"
160.75,-1.47,7.50985667658529,-0.362187768703875,7.94982314740796,-0.0766171211420139
161.25,-1.89,7.51148638285058,-0.36995618916202,7.949647452981,-0.0992030503914094
161.75,-1.68,7.51312784511774,-0.377311761888993,7.94957660549614,-0.120554300978839
162.25,-2.1,7.51477777502988,-0.38433344472508,7.94955922897659,-0.139764838323454
162.75,-1.89,7.51644871724228,-0.39130994864175,7.94955271705517,-0.157854225930443
163.25,-2.31,7.51812535509487,-0.395184091892629,7.949539416113,-0.173378868607475
163.75,-2.1,7.51979401819115,-0.399446205940048,7.94951632561253,-0.188016328205828
164.25,-2.52,7.52144472745439,-0.400778195557004,7.94948901122907,-0.200300970194328
164.75,-2.31,7.52306746857206,-0.400511666331763,7.94946603424324,-0.211469898771524
165.25,-2.73,7.52464542333143,-0.399881094812557,7.94945268788456,-0.221379883523567
165.75,-2.52,7.52615092663398,-0.398878726328191,7.94945179513066,-0.231241091550283
166.25,-2.94,7.52757095455641,-0.396832342014874,7.94947443329617,-0.239949823583643
166.75,-2.73,7.52890576025168,-0.394448328642254,7.94952897841628,-0.248956006976208
