TIME,POSITION,rho1,rho2,h,RMS_BASE,RMS_DIFF
92.75,-2.73,3.531638380207566,7.1029681388123755,0.0014522992083422603,0.09335778374071371,4.2565073726925675
93.25,-3.15,2.239587204378549,7.103489461093218,9.864140324617407E-4,0.09354875756313034,1.837974287003941
93.75,-2.94,2.3688483848029724,7.104213491805156,0.0014598841648846186,0.09372900964817014,1.2907758736608743
94.25,-3.36,1.298817239725701,7.105101486998284,4.8018076886560023E-4,0.09389921971280779,1.004616936764466
94.75,-3.15,1.1944115190226887,7.106126159990412,4.6510348634443534E-4,0.09406067837147065,0.8051264677737789
95.25,-3.57,1.0805753554586273,7.107245717366652,4.2701538410788237E-4,0.09421407452070686,0.6548999434424101
95.75,-3.36,1.9532488303339206,7.1084335660017555,0.0016621647348622763,0.0943603910242711,0.5227767404670274
96.25,-3.78,1.1357020550132315,7.109654401632818,5.963873315587161E-4,0.09449899893518993,0.41231225248662684
96.75,-3.57,0.8600150664446631,7.1109272896992115,3.750722146868476E-4,0.09462970031006353,0.319581833635156
97.25,-3.99,0.9909620148546732,7.112243131345696,5.504576861274649E-4,0.09475224377286375,0.24082685210115673
97.75,-3.78,1.1444848596312744,7.113601610786472,8.050384298250839E-4,0.0948661099250637,0.174780034448491
98.25,-4.2,1.8493305529288848,7.115018952766671,0.002363534167531032,0.0949711442154398,0.11977616853925604
98.75,-3.99,6.945080659998819,7.057828388123893,1.6449319490127448,0.09921929394962521,0.09921929389209258
99.25,-4.41,7.0212627560827485,7.14959478854263,2.7952732577343764,0.09681510353665188,0.09681510357322604
99.75,-4.2,7.067711709889188,7.228776691765351,3.5352692174643114,0.09555380000901069,0.09555380006260548
100.25,-4.62,7.1131090682021565,7.309748382560378,4.086850140933447,0.09464764601525619,0.09464764600449346
100.75,-4.41,7.144450464908129,7.37495383728472,4.516465117765483,0.09434349268499978,0.09434349267162924
101.25,-4.83,7.166594033009322,7.426122994917534,4.8262736443991585,0.09428592884969092,0.09428592882969589
101.75,-4.62,7.185832265979964,7.471302567305827,5.089004748253305,0.09431505368959552,0.09431505367346991
102.25,-5.04,7.19891332839302,7.504920579151015,5.26585757765246,0.09439817196136793,0.09439817196641447
102.75,-4.83,7.210340327478315,7.532516056381521,5.408180147104702,0.09448302555833667,0.09448302559207897
103.25,-5.25,7.2161589482329225,7.548982075193142,5.4719583566329,0.0945686482365509,0.09456864824323674
103.75,-5.04,7.2185203891369225,7.554365179914215,5.473974962296938,0.09462372624747824,0.09462372628855593
104.25,-5.46,7.219286978768368,7.559647402783211,5.459629628301111,0.09469882596436317,0.09469882595984551
104.75,-5.25,7.217565552471328,7.555839648484546,5.39654367201645,0.09474875139925237,0.09474875139138224
105.25,-5.67,7.216506843215069,7.555537605997024,5.344416552927544,0.09482039011816579,0.09482039014540222
105.75,-5.46,7.215132236430913,7.55024205554879,5.271529747273088,0.09487008433745517,0.09487008432004206
106.25,-5.88,7.219107980319176,7.560142994154433,5.277699494786974,0.09494712651785028,0.09494712647302252
