TIME,POSITION
1.108,-0.105
1.109,-0.105
1.11,-0.105
1.111,-0.105
1.112,-0.105
1.113,-0.105
1.114,-0.105
1.115,-0.105
1.116,-0.105
1.117,-0.105
1.118,-0.105
1.119,-0.105
1.12,-0.105
1.121,-0.105
1.122,-0.105
1.123,-0.105
1.124,-0.105
1.125,-0.105
1.126,-0.105
1.127,-0.105
1.128,-0.105
1.129,-0.105
1.13,-0.105
1.131,-0.105
1.132,-0.105
1.133,-0.105
1.134,-0.105
1.135,-0.105
1.136,-0.105
1.137,-0.105
1.138,-0.105
1.139,-0.105
1.14,-0.105
1.141,-0.105
1.142,-0.105
1.143,-0.105
1.144,-0.105
1.145,-0.105
1.146,-0.105
1.147,-0.105
1.148,-0.105
1.149,-0.105
1.15,-0.105
1.151,-0.105
1.152,-0.105
1.153,-0.105
1.154,-0.105
1.155,-0.105
1.156,-0.105
1.157,-0.105
1.158,-0.105
1.159,-0.105
1.16,-0.105
1.161,-0.105
1.162,-0.105
1.163,-0.105
1.164,-0.105
1.165,-0.105
1.166,-0.105
1.167,-0.105
1.168,-0.105
1.169,-0.105
1.17,-0.105
1.171,-0.105
1.172,-0.105
1.173,-0.105
1.174,-0.105
1.175,-0.105
1.176,-0.105
1.177,-0.105
1.178,-0.105
1.179,-0.105
1.18,-0.105
1.181,-0.105
1.182,-0.105
1.183,-0.105
1.184,-0.105
1.185,-0.105
1.186,-0.105
1.187,-0.105
1.188,-0.105
1.189,-0.105
1.19,-0.105
1.191,-0.105
1.192,-0.105
1.193,-0.105
1.194,-0.105
1.195,-0.105
1.196,-0.105
1.197,-0.105
1.198,-0.105
1.199,-0.105
1.2,-0.105
1.201,-0.105
1.202,-0.105
1.203,-0.105
1.204,-0.105
1.205,-0.105
1.206,-0.105
1.207,-0.105
1.208,-0.105
1.209,-0.105
1.21,-0.105
1.211,-0.105
1.212,-0.105
1.213,-0.105
1.214,-0.105
1.215,-0.105
1.216,-0.105
1.217,-0.105
1.218,-0.105
1.219,-0.105
1.22,-0.105
1.221,-0.105
1.222,-0.105
1.223,-0.105
1.224,-0.105
1.225,-0.105
1.226,-0.105
1.227,-0.105
1.228,-0.105
1.229,-0.105
1.23,-0.105
1.231,-0.105
1.232,-0.105
1.233,-0.105
1.234,-0.105
1.235,-0.105
