"TIME","R1","R1`","R2","R2`","POSITION","dH"
278.75,207.430410596026,207.426761589404,267.943225165563,267.990509933775,-2.94,-0.21
279.25,207.426761589404,207.180642384106,267.990509933775,267.831337748344,-3.15,0.42
279.75,207.180642384106,207.260821192053,267.831337748344,267.874668874172,-2.73,-0.21
280.25,207.260821192053,207.013927152318,267.874668874172,267.670629139073,-2.94,0.42
280.75,207.013927152318,207.108145695364,267.670629139073,267.767721854305,-2.52,-0.21
281.25,207.108145695364,206.910291390728,267.767721854305,267.777662251656,-2.73,0.42
281.75,206.910291390728,207.009152317881,267.777662251656,267.913768211921,-2.31,-0.21
282.25,207.009152317881,206.793324503311,267.913768211921,267.893125827815,-2.52,0.42
282.75,206.793324503311,206.830642384106,267.893125827815,267.789033112583,-2.1,-0.21
283.25,206.830642384106,206.622298013245,267.789033112583,267.847847682119,-2.31,0.42
283.75,206.622298013245,206.678781456954,267.847847682119,267.871390728477,-1.89,-0.21
284.25,206.678781456954,206.458377483444,267.871390728477,267.950291390728,-2.1,0.42
284.75,206.458377483444,206.518013245033,267.950291390728,267.980509933775,-1.68,-0.21
285.25,206.518013245033,206.318357615894,267.980509933775,268.141589403974,-1.89,0.42
285.75,206.318357615894,206.391887417219,268.141589403974,268.218801324503,-1.47,-0.21
286.25,206.391887417219,206.18257615894,268.218801324503,268.408781456954,-1.68,0.42
286.75,206.18257615894,206.212768211921,268.408781456954,268.33617218543,-1.26,-0.21
287.25,206.212768211921,206.076715231788,268.33617218543,268.681390728477,-1.47,0.42
287.75,206.076715231788,206.066304635762,268.681390728477,268.547589403974,-1.05,-0.21
288.25,206.066304635762,205.892099337748,268.547589403974,269.014185430464,-1.26,0.42
288.75,205.892099337748,205.813417218543,269.014185430464,268.926966887417,-0.84,-0.21
289.25,205.813417218543,205.718092715232,268.926966887417,269.456470198676,-1.05,0.42
289.75,205.718092715232,205.623761589404,269.456470198676,269.218139072848,-0.63,-0.21
290.25,205.623761589404,205.510331125828,269.218139072848,269.822039735099,-0.84,0.42
290.75,205.510331125828,205.491112582781,269.822039735099,269.635284768212,-0.42,-0.21
291.25,205.491112582781,205.46619205298,269.635284768212,270.517821192053,-0.63,0.42
