TIME,POSITION,R1,R2,CCR,ANGLE,A1,A2,DA1,DA2,rho1,rho1AbsError,rho2,rho2AbsError,h,hAbsError,RMS_BASE,RMS_DIFF,PREDICTED_R1,PREDICTED_DIFF_R1,CONTRIBUTION_RHO1_1,CONTRIBUTION_RHO2_1,CONTRIBUTION_H_1,PREDICTED_R2,PREDICTED_DIFF_R2,CONTRIBUTION_RHO1_2,CONTRIBUTION_RHO2_2,CONTRIBUTION_H_2
19.25,-0.105,117.233,161.941,3680,10.1370922506926,5.15937859949185,4.75559246186244,1.55322491784948,2.0371659018194,5.410535362623876,0.04495586048576868,3.3017612623807606,0.05492924576259413,8.640667836327214,0.3222535171445599,0.018788964435047566,0.023256080176633415,116.07676578656776,-0.19935634692518533,-0.24009326227766792,-0.3288593790315417,0.35514828579984226,166.2391257570774,-0.4416634050999164,-0.307868630351237,-0.8402272225416425,0.6795347513758543
20.75,0,116.915,161.609,3675,10.8751938503872,5.14671136849045,4.74308965031641,1.42668883475096,1.9296809403195,5.380414277261417,0.04384390173874582,3.2399405023749583,0.055373679615359106,8.966126367405206,0.3378098720704956,0.01928077253270491,0.026932477152676222,115.80714480482322,-0.26962098174453786,-0.5741218484390487,-0.2442737556533956,0.5377882311477009,165.94028255253426,-0.2988432045431466,-0.7386899162147529,-0.6324113012879309,1.0513039971197315
22.25,-0.105,116.707,161.196,3667,11.5350765585242,5.13621749761121,4.73260970235868,1.33400525432419,1.87677269187966,5.364597159275085,0.04477117637045405,3.06993394786411,0.05794236231060684,9.461805462794702,0.36278728705695784,0.01874584606596441,0.02977808055507681,115.6736060074549,-0.13353879736833107,-0.3056468393745462,-0.6317776619301583,0.7381538369265712,165.49625186374834,-0.4440306887859151,-0.3957289867674376,-1.6692258345710798,1.4921369361498193
23.75,0,116.505,160.961,3658,12.2088945622174,5.12678624233277,4.72298064587319,1.21516833111237,1.77242527532283,5.339815396344941,0.0439924818986952,2.9689804079829907,0.05920135370181258,9.900624323665944,0.3854638740844096,0.019161049007469653,0.03437291950118591,115.49105699035447,-0.1825490171004276,-0.48694187846177783,-0.34130429965387066,0.619086370773374,165.28245715100743,-0.21379471274090633,-0.6352789245184738,-0.9293195135391272,1.2966727921569259
25.25,-0.105,116.273,160.553,3654,12.9888020485802,5.11919974427428,4.71563558480945,1.10352167869738,1.61983381010808,5.302982862329056,0.03959088987567645,3.1386861583971566,0.055682807141907605,9.822358824672627,0.38035527474334696,0.021496134450404734,0.04103809141108147,115.17032370279547,-0.3207332875589941,-0.7338129490808427,0.5129994687511754,-0.10904426060467642,165.54102975872252,0.25857260771508095,-0.9643964137984256,1.4366068748458645,-0.23144508323045443
26.75,0,116.282,160.637,3646,13.9669532047264,5.11353434489051,4.71070502791307,1.07234209157782,1.54502529624799,5.27907294727242,0.03605917780007098,3.3565974932881355,0.05116928779519305,9.423712384200423,0.35896528627367785,0.023299115348281395,0.0441584097339789,114.87048579783598,-0.2998379049594888,-0.47666806910845594,0.6434171437808942,-0.5343618381642727,165.73451464409592,0.19348488537340813,-0.6273998221116415,1.7998434623461605,-1.116004025789863
28.25,-0.105,116.049,160.302,3638,15.2352252879754,5.10661528575137,4.7043124107196,1.03634701691012,1.43317316598275,5.24144304264762,0.030367083049272048,3.7160328151111974,0.04293624084938277,8.626165382556987,0.3184929776082774,0.02620795170559189,0.04917000254030817,114.36895061916896,-0.5015351786670266,-0.7432149353544872,1.1008812673154011,-1.1129159402191817,166.05278212624788,0.31826748215195266,-0.9745786825085645,3.019969270677393,-2.2195625360958218
29.75,0,115.946,160.191,3635,16.7916163554387,5.09511400263259,4.69356867605089,0.946254344783878,1.26411057931881,5.184725633864697,0.02347849773464953,4.0769590684583115,0.03293242166401849,7.7223533790604035,0.27468072176346037,0.02958673951788709,0.06202511659157938,113.63390126343762,-0.7350493557313342,-1.0941124575176673,1.2516405406640843,-1.2570519869402688,166.23024483144638,0.17746270519850782,-1.4218031932251733,3.28111000320132,-2.345456828548379
31.25,-0.105,115.423,159.397,3612,18.4039958053111,5.07832353061527,4.6793319369321,0.800227031572821,1.06204914151598,5.112771175950382,0.016339738606096204,4.375568532140803,0.022523232825297043,6.771097250641357,0.2286444365589502,0.03272090061727656,0.09151768940908203,112.69689595358899,-0.9370053098486295,-1.3404953731754716,1.2229536347561663,-1.2467280207585958,166.10295114965447,-0.1272936817919117,-1.722568161861119,3.028316319976028,-2.1569157469066056
32.75,0,115.095,159.153,3602,19.8056168115218,5.05878393135647,4.66437948871878,0.634419601220172,0.776552907741256,5.00402047786653,0.004832304895676053,4.686975494587627,0.006021970523686928,4.670504249332766,0.09804013024431148,0.0367433829424362,0.13450079019154176,111.06207800473359,-1.6348179488553995,-1.9254236677048482,1.5506700180009574,-2.950433219573398,165.33124510693784,-0.7717060427166302,-2.441310835846508,3.5969462153346683,-4.443726537520263
